BIC;Name
DAAEDED1029;DEUTSCHE APOTHEKER- UND AERZTEBANK
DAAEDED1030;DEUTSCHE APOTHEKER- UND AERZTEBANK
DAAEDED1031;DEUTSCHE APOTHEKER- UND AERZTEBANK
DAAEDED1032;DEUTSCHE APOTHEKER- UND AERZTEBANK
DAAEDED1033;DEUTSCHE APOTHEKER- UND AERZTEBANK
DAAEDED1034;DEUTSCHE APOTHEKER- UND AERZTEBANK
DAAEDED1035;DEUTSCHE APOTHEKER- UND AERZTEBANK
DAAEDED1036;DEUTSCHE APOTHEKER- UND AERZTEBANK
DAAEDED1037;DEUTSCHE APOTHEKER- UND AERZTEBANK
DAAEDED1040;DEUTSCHE APOTHEKER- UND AERZTEBANK
DAAEDED1041;DEUTSCHE APOTHEKER- UND AERZTEBANK
DAAEDED1042;DEUTSCHE APOTHEKER- UND AERZTEBANK
DAAEDED1043;DEUTSCHE APOTHEKER- UND AERZTEBANK
DAAEDED1044;DEUTSCHE APOTHEKER- UND AERZTEBANK
DAAEDED1045;DEUTSCHE APOTHEKER- UND AERZTEBANK
DAAEDED1046;DEUTSCHE APOTHEKER- UND AERZTEBANK
DAAEDED1048;DEUTSCHE APOTHEKER- UND AERZTEBANK
DAAEDED1049;DEUTSCHE APOTHEKER- UND AERZTEBANK
DAAEDED1050;DEUTSCHE APOTHEKER- UND AERZTEBANK
DABADEHH;DANSKE BANK
DABBDEMM;BNP PARIBAS S.A. NIEDERLASSUNG DEUTSCHLAND
DEBKDE51;DEBEKA BAUSPARKASSE AG
DEGUDEFF;DEGUSSA BANK GMBH
DEHYDE2H;DEUTSCHE HYPOTHEKENBANK AG
DEKTDE7G;DEUTSCHE HANDELSBANK AG
DEKTDE71;DEUTSCHE HANDELSBANK AG
DELBDE33;BETHMANN BANK AG
DEPDDEMM;VZ DEPOTBANK DEUTSCHLAND
DEUTDEBB;DEUTSCHE BANK AG
DEUTDEBR;DEUTSCHE BANK AG
DEUTDEDB;DB PRIVAT- UND FIRMENKUNDENBANK AG (DB PGK AG)
DEUTDEDD;DEUTSCHE BANK AG
DEUTDEDE;DEUTSCHE BANK AG
DEUTDEDK;DEUTSCHE BANK AG
DEUTDEDW;DEUTSCHE BANK AG
DEUTDEFF;DEUTSCHE BANK AG
DEUTDEHB;DEUTSCHE BANK AG
DEUTDEHH;DEUTSCHE BANK AG
DEUTDEMM;DEUTSCHE BANK AG
DEUTDESM;DEUTSCHE BANK AG
DEUTDESS;DEUTSCHE BANK AG
DEUTDE2H;DEUTSCHE BANK AG
DEUTDE3B;DEUTSCHE BANK AG
DEUTDE5M;DEUTSCHE BANK AG
DEUTDE5X;DEUTSCHE BANK EUROPE GMBH
DEUTDE6F;DEUTSCHE BANK AG
DEUTDE8C;DEUTSCHE BANK AG
DEUTDE8E;DEUTSCHE BANK AG
DEUTDE8L;DEUTSCHE BANK AG
DEUTDE8M;DEUTSCHE BANK AG
DGHYDEH1;DZ HYP AG
DGPBDE3M;VERBUNDVOLKSBANK OWL EG
DGZFDEFF;DEKABANK DEUTSCHE GIROZENTRALE FRANKFURT
DHBNDEDD;DEMIR HALK BANK NV GERMANY
DLFGDE51;DEUTSCHE LEASING FINANCE GMBH
DLGHDEB1;EUROCITY BANK AG
DNBADEHX;DNB BANK ASA, FILIALE DEUTSCHLAND
DOBADEF1;VTB BANK (EUROPE) SE
DORTDE33;SPARKASSE DORTMUND
DRBKDEH1;start:bausparkasse AG
DRESDEFF;COMMERZBANK AG (FORMERLY DRESDNER BANK AG)
DTABDED1;KFW
DUISDE33;SPARKASSE DUISBURG
DUSSDEDD;STADTSPARKASSE DUESSELDORF
DVKBDEFF;DVB BANK SE
DXIADEBB;LANDESBANK HESSEN-THUERINGEN GIROZENTRALE
DXIADEB2COV;LANDESBANK HESSEN-THUERINGEN GIROZENTRALE
DZBMDEF1;DZB BANK GMBH
EBSGDEMX;EUROPEAN BANK FOR FINANCIAL SERVICES GMBH (EBASE)
ECBKDE21;AUTO EUROPA BANK GMBH
EDEKDEHH;EDEKABANK AG
EIEGDEB1;EIS EINLAGENSICHERUNGSBANK GMBH
EIHBDEHH;EUROPAEISCH-IRANISCHE HANDELSBANK AG
ELGEDES1;BANKHAUS ELLWANGER AND GEIGER KG
ERFBDE8E;ERFURTER BANK EG
ESBKDEFF;DenizBank Aktiengesellschaft
ESSEDEFF;SEB AG SEB MERCHANT BANKING
ESSEDE5F;DSK HYP AG
ESSLDE66;KREISSPARKASSE ESSLINGEN-NUERTINGEN
ETRIDE31;ETRIS BANK
FAITDE66;BANKHAUS J. FAISST OHG
FBGADEF1;FRANKFURTER BANKGESELLSCHAFT AG
FBHLDEFF;CREDIT EUROPE BANK N.V. NIEDERLASSUNG DEUTSCHLAND
FDBADE3K;FORD BANK, NIEDERLASSUNG DER FCE BANK PLC
FDBADE8F;FORD BANK GMBH
FDDODEMM;FIDOR BANK AG
FFBKDEFFKRN;FIL FONDSBANK GMBH
FFBKDEFFTHK;FIL FONDSBANK GMBH
FFVBDEFF;FRANKFURTER VOLKSBANK EG
FLESDEMM;BANKHAUS MAX FLESSA KG
FLGMDE77;BANKHAUS OBOTRITIA GMBH
FMBKDEMM;CACEIS BANK DEUTSCHLAND GMBH
FODBDE77;FONDSDEPOT BANK GMBH, HOF (SAALE)
FORTDEH4;OLDENBURGISCHE LANDESBANK AG
FRSDDEF1;FRANKFURTER SPARKASSE GF 1822DIREKT
FRSPDE66;SPARKASSE FREIBURG-NOERDLICHER BREISGAU
FTSBDEFA;ABN AMRO BANK N.V.GERMAN BRANCH(FORMELY KNOWN AS FORTIS BANK (NEDERLAN
FUBKDE71;FUERST FUGGER PRIVATBANK AKTIENGESELLSCHAFT
FUCEDE77;FUERSTLICH CASTELL'SCHE BANK CREDIT-CASSE AG
GABLDE71;GABLER-SALITER BANKGESCHAEFT AG
GAKDDEM1;ST. GALLER KANTONALBANK DEUTSCHLAND AG
GEBADE33;BNP PARIBAS FORTIS SA/NV NIEDERLASSUNG DEUTSCHLAND
GENODEDD;DZ BANK AG DUESSELDORF
GENODED1AAC;AACHENER BANK EG
GENODED1AAS;VOLKSBANK AACHEN SUED EG
GENODED1AEG;SPAR- UND DARLEHNSKASSE AEGIDIENBERG EG
GENODED1AEZ;VOLKSBANK IM WESERTAL EG
GENODED1AHO;SPAR-UND DARLEHNSKASSE HOENGEN EG
GENODED1ALD;RAIFFEISENBANK EG
GENODED1ASN;RAIFFEISENBANK NEUSTADT EG
GENODED1BBE;BANK IM BISTUM ESSEN EG
GENODED1BGL;BENSBERGER BANK EG
GENODED1BIT;VOLKSBANK EIFEL EG
GENODED1BNA;VOLKSBANK RHEINAHREIFEL EG
GENODED1BPU;RAIFFEISENBANK ZELLER LAND EG
GENODED1BRH;VOLKSBANK RHEIN-ERFT KOELN EG
GENODED1BRL;BRUHLER BANK EG
GENODED1BRS;VOLKSBANK KOELN BONN EG
GENODED1CGN;KOELNER BANK
GENODED1CVW;VOLKSBANK IM BERGISCHEN LAND EG
GENODED1DHK;VOLKSBANK DUENNWALD-HOLWEIDE EG
GENODED1DKD;BANK FUER KIRCHE UND DIAKONIE EG-KD-BANK
GENODED1DLK;VOLKSBANK DINSLAKEN EG
GENODED1DNE;VOLKSBANK DUESSELDORF NEUSS EG
GENODED1DUE;VOLKSBANK DUEREN EG
GENODED1EGY;RAIFFEISENBANK GYMNICH EG
GENODED1EHE;VOLKSBANK ERKELENZ EG
GENODED1EMR;VOLKSBANK EMMERICH-REES EG
GENODED1ERE;VOLKSBANK ERFT EG
GENODED1ERF;RAIFFEISENBANK ERFTSTADT EG
GENODED1EVB;VOLKSBANK EUSKIRCHEN EG
GENODED1FFS;FFS BANK GMBH
GENODED1FHH;VOLKSBANK RHEIN-ERFT KOELN EG
GENODED1FIN;RAIFFEISENBANK 'NAHE' EG
GENODED1FKH;RAIFFEISENBANK FISCHENICH-KENDENICH EG
GENODED1GBM;GLADBACHER BANK AG VON 1922
GENODED1GBS;VOLKSBANK GEBHARDSHAIN EG
GENODED1GDL;VOLKSBANK AN DER NIERS EG
GENODED1GKK;VOLKSBANK GEMUEND-KALL EG
GENODED1GLK;RAIFFEISENBANK EG
GENODED1GRB;RAIFFEISENBANK GREVENBROICH
GENODED1GRO;RAIFFEISENBANK GRAFSCHAFT-WACHTBERG EG
GENODED1HAW;VOLKSBANK HAAREN EG
GENODED1HBO;VR-BANK BONN EG
GENODED1HCK;VR-BANK RUR-WURM EG
GENODED1HER;VOLKSBANK HERMESKEIL
GENODED1HMB;VOLKSBANK HEIMBACH EG
GENODED1HNB;HEINSBERGER VOLKSBANK
GENODED1HRB;VOLKSBANK HEINSBERG EG
GENODED1HTK;VOLKSBANK KREFELD EG
GENODED1HWM;VOLKSBANK HOCHWALD-SAARBURG EG
GENODED1IMM;VR-BANK RUR-WURM EG
GENODED1IRR;RAIFFEISENBANK IRREL EG
GENODED1JUK;RAIFFEISENBANK JUNKERSDORF EG
